Index,Value,Qty,Description,Specs,Package,Ref. Mouser,References
R120 ,51,1,"Resistor, 1%",,603,603-RC0603FR-0751RL,
"R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R71, R74, R94, R95  ",100,16,"Resistor, 1%",,603,652-CR0603FX-1000ELF,
"R76, R83",180,2,"Resistor, 1%",,603,652-CR0603FX-1800ELF,
"R66, R67",270,2,"Resistor, 1%",,603,652-CR0603FX-2700ELF,
"R20, R21 ",2.49k,2,"Resistor, 1%",,603,652-CR0603FX-2491ELF,
"R88, R89   ",2.49k,2,"Resistor, 1%",,805,652-CR0805FX-2491ELF,
"R64, R65, R103, R106, R112, R115 ",3.3k,6,"Resistor, 1%",,603,652-CR0603-FX3301ELF,
"R104, R105, R113, R114",4.7k,4,"Resistor, 1%",,603,652-CR0603FX-4701ELF,
"R96, R97, R98, R99, R100, R101, R102, R107, R111, R116   ",10k,10,"Resistor, 1%",,603,652-CR0603-FX-1002GLF,
"R52, R53 ",20k,2,"Resistor, 1%",,603,652-CR0603FX-2002ELF,
"R28, R31",27k,2,"Resistor, 1%",,603,652-CR0603FX-2702ELF,
"R77, R78 ",30k,2,"Resistor, 1%",,603,652-CR0603FX-3002ELF,
"R39, R41, R42, R43, R44, R45, R84, R85, R86, R87 ",33k,10,"Resistor, 1%",,603,652-CR0603FX-3302ELF,
"R48, R51",39k,2,"Resistor, 1%",,603,652-CR0603FX-3902ELF,
"R17, R18, R19, R22, R23, R26, R27, R29, R30, R32, R33, R34, R35, R36, R37, R38, R40, R47, R50, R58, R59, R60, R61, R62, R63, R79, R80, R81, R82, R91, R93, R108, R109, R110, R117, R118, R119",100k,37,"Resistor, 1%",,603,652-CR0603-FX-1003GLF,
"R24, R25,",100k,2,Resistor 1%,,603,652-CR0603-FX-1003GLF,"pulldown resistors, other values possible"
"R54, R55, R56, R57, R70, R73 ",120k,6,"Resistor, 1%",,603,652-CR0603FX-1203ELF,
"R1, R2, R15, R16, R72, R75, R90, R92",220k,8,"Resistor, 1%",,603,652-CR0603FX-2203ELF,
"R46, R49 ",3.3M,2,"Resistor, 1%",,603,71-CRCW06033M30FKEA,
C20,10p,1,"Capacitor, ceramic",">= 16V, <= 5%, C0G",603,81-GCM1885C2A100JA6J,
